sentence,difficulty
Tim ist der beste Spieler in seiner Fußballmannschaft.,A2
Am Samstag haben sie ein wichtiges Spiel gegen die Mannschaft aus der Nachbarstadt.,B1
"Wenn sie gewinnen, kommen sie ins Finale.",A2
"Der Trainer sagt: „Tim, wir brauchen dich!",A2
"Du musst auf jeden Fall dabei sein! “
Aber dann ruft Tims Oma an:",A2
"„Tim, am Samstag feiere ich meinen 70.",A2
Die ganze Familie kommt.,A2
Deine Cousins aus Hamburg sind auch da.,A2
Wir essen um 15 Uhr zusammen. “ Tim sieht auf den Spielplan.,A2
Das Fußballspiel beginnt auch um 15 Uhr.,A2
"Tim weiß nicht, was er machen soll.",A2
Seine Mannschaft will auf jeden Fall ins Finale.,B1
Aber seine Oma wird nur einmal 70.,A2
Seine Eltern sagen: „Das ist deine Entscheidung.,A2
Du bist alt genug. “,A2
Tim ruft seine Oma an.,A2
"„Es tut mir sehr leid, Oma.",A2
Aber ich muss zum Fußballspiel.,A2
Das Team braucht mich. “ Seine Oma sagt einen Moment lang nichts.,B1
"Dann antwortet sie: „Ist gut, mein Junge.",A2
Ich verstehe das.,A2
Sport ist wichtig.,A2
"Aber kommst du danach noch vorbei? “

Das Spiel ist sehr spannend.",B1
Beide Mannschaften sind gut.,A2
Nach einer Stunde steht es 1:1.,A2
Dann bekommt Tim den Ball.,A2
Er läuft schnell zum Tor.,A2
"Noch 10 Meter, noch 5 Meter.",A2
Er schießt – Tor!,A2
Alle sind froh und umarmen Tim.,A2
Das Spiel endet 2:1.,A2
Seine Mannschaft ist im Finale!,A2
Nach dem Spiel fährt Tim direkt zu seiner Oma.,A1
Es ist schon 17 Uhr.,A2
Die ganze Familie sitzt noch im Garten.,A2
"„Da ist ja unser Fußballstar! “, ruft sein Onkel Thomas.",A2
Tims Oma umarmt ihn:,A2
"„Und, habt ihr gewonnen? “ – „Ja, Oma!",A2
"Ich habe sogar ein Tor geschossen. “

Tims Cousins wollen alles über das Spiel wissen.",A2
Die Familie isst zusammen Kuchen und Tim erzählt vom Spiel.,A2
Seine Oma hört gut zu.,A2
"Dann holt sie ein kleines Paket: „Hier, das ist für deinen Sieg.",B1
"Ich wusste, dass du es schaffst! “ In dem Paket sind neue Fußballschuhe.",B1
"„Aber Oma, du schenkst mir Schuhe?",A2
"An deinem Geburtstag? “, fragt Tim überrascht.",A2
"Seine Oma lacht: „Ja, die brauchst du doch für das Finale!",A2
"Und jetzt will ich, dass du mir versprichst: Im Finale schießt du wieder ein Tor – für deine Oma! “ Tim ist sehr glücklich.",B1
Er hat die besten Fans der Welt.,A1
Simon ist nervös.,A2
Heute ist sein erster Tag im Café am Markt.,A2
"Er braucht einen Job, weil er Geld für einen neuen Computer sparen will.",A2
"Die Chefin, Frau Müller, zeigt ihm die Küche und erklärt alles:",A2
"„Hier sind die Tassen, dort ist die Kaffeemaschine und hier stehen die Kuchen. “

Um 14 Uhr kommen viele Gäste.",A2
Simon soll Kaffee und Kuchen servieren.,A2
Plötzlich passiert es: Er stolpert und eine Tasse Kaffee fällt auf den Boden.,A2
Zum Glück ist niemand nass geworden.,B1
Aber eine alte Dame am Nachbartisch sieht sehr unglücklich aus.,B1
"„Entschuldigung! “, sagt Simon schnell und holt einen Lappen.",A2
Da hört er die alte Dame sagen: „Meine Handtasche!,A2
Der Kaffee ist auf meine neue Handtasche getropft! “ Simon sieht einen kleinen braunen Fleck auf der weißen Tasche.,B1
Was soll er tun?,A2
Simon geht schnell zu seiner Chefin.,A2
"„Frau Müller, ich habe ein Problem.",A2
Können Sie bitte mitkommen? “ Frau Müller folgt ihm zu dem Tisch.,A2
Die alte Dame zeigt ihr die Handtasche.,A2
„Das ist eine neue Tasche.,A2
"Sie hat 50 Euro gekostet! “, sagt sie traurig.",A2
Frau Müller bleibt ruhig und freundlich.,A2
„Das tut uns sehr leid.,A2
Simon ist neu hier und lernt noch.,A2
Wissen Sie was?,A2
Der Kaffee und der Kuchen gehen heute aufs Haus.,B1
"Und wir zahlen natürlich auch die Reinigung für Ihre Tasche. “

Die alte Dame lächelt.",B1
"„Oh, das ist aber nett.",A2
