sentence,difficulty_label
"Zur Vorbereitung sollte man mit einem Arm eine weit ausholende Bewegung machen, so als wolle man jemanden freudig begrüßen.",B2
Es ist ein sehr schöner Abend.,A1
Heute führt die Route durch das Gaistal.,A2
Als besser verträglich mit dem Leitbild der nachhaltigen Entwicklung gilt die Wiederbelebung innerstädtischer Brachen.,C2
Hierzulande liegen sie im Schnitt bei 15. 000 Euro.,B1
Nie war Zweckmäßigkeit hässlicher als auf deutschen Schnellstraßen und in angrenzenden Gewerbegebieten.,C2
"Wie schmerzhaft und seltsam es ist, wenn man Sehnsucht nach sich selbst hat!",C2
"Da waren keine Menschen mehr, die Körner auf die Fensterbänke streuten, damit sich die neu angekommenen Schwalben stärken und vom Reisen erholen konnten.",C2
"Ist der Boden fruchtbar, haben Lebewesen etwas zu essen, ist er dagegen verdorrt, hungern sie und sterben im schlimmsten Fall.",C1
Es geht durch diese Diäten und diese dauerhaften Mangelzustände völlig verloren.,C1
"Dann holt sie ein kleines Paket: „Hier, das ist für deinen Sieg.",B1
Außerdem sind auch viele persönliche Daten wie Kontakte und Fotos gespeichert.,B1
"So können Sie sehen, ob das Gewitter näher kommt oder abzieht.",B1
"Aber wir erzeugen ‘n ganzen Stoffzoo von Stoffen, die wir gar nicht kennen in ihren Eigenschaften, die wir noch nicht mal richtig analysieren können.",C1
Also müssen Laura und Kilian nicht lange suchen.,A2
"Alle dreißig Jahre werden die rausgenommen, wieder frisch aufgeschweißt und dann wieder reingemacht.",B1
"MAX MURAWSKI Angeln in der Stadt ist auf jeden Fall wesentlich sozialer, als wenn man irgendwo alleine auf nem See sitzt oder an nem See sitzt.",B1
"Nachdem er den Islam angenommen hat, durchreist er Europa, um Gotteshäuser fotografisch festzuhalten und deren spirituelle Aura einzufangen.",C2
"Vollends verstört wäre er, wenn diese Leute seine geistigen Fähigkeiten daraufhin überprüfen würden, ob sie ausreichten, Tausende von Pflanzen zu unterscheiden, Fährten zu lesen oder tiefe Strömungen an winzigen Nuancen der Meeresoberfläche zu erkennen.",C2
