sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability,difficulty_label
"Zur Vorbereitung sollte man mit einem Arm eine weit ausholende Bewegung machen, so als wolle man jemanden freudig begrüßen.",3,306,19,27.0,139.0,B2,69.11,B2
Es ist ein sehr schöner Abend.,0,531,6,,,A1,99.23,A1
Heute führt die Route durch das Gaistal.,1,476,7,10.0,115.0,A2,115.13,A2
Als besser verträglich mit dem Leitbild der nachhaltigen Entwicklung gilt die Wiederbelebung innerstädtischer Brachen.,5,unknown,14,,,C2,31.89,C2
Hierzulande liegen sie im Schnitt bei 15. 000 Euro.,2,483,9,15.0,121.0,B1,87.72,B1
Nie war Zweckmäßigkeit hässlicher als auf deutschen Schnellstraßen und in angrenzenden Gewerbegebieten.,5,unknown,12,,,C2,42.38,C2
"Wie schmerzhaft und seltsam es ist, wenn man Sehnsucht nach sich selbst hat!",5,unknown,13,,,C2,92.12,C2
"Da waren keine Menschen mehr, die Körner auf die Fensterbänke streuten, damit sich die neu angekommenen Schwalben stärken und vom Reisen erholen konnten.",5,unknown,23,,,C2,73.51,C2
"Ist der Boden fruchtbar, haben Lebewesen etwas zu essen, ist er dagegen verdorrt, hungern sie und sterben im schlimmsten Fall.",4,300,20,33.0,142.0,C1,51.18,C1
Es geht durch diese Diäten und diese dauerhaften Mangelzustände völlig verloren.,4,285,11,17.0,129.0,C1,77.23,C1
"Dann holt sie ein kleines Paket: „Hier, das ist für deinen Sieg.",2,527,12,,,B1,101.6,B1
Außerdem sind auch viele persönliche Daten wie Kontakte und Fotos gespeichert.,2,604,11,,,B1,51.85,B1
"So können Sie sehen, ob das Gewitter näher kommt oder abzieht.",2,574,11,,,B1,77.23,B1
"Aber wir erzeugen ‘n ganzen Stoffzoo von Stoffen, die wir gar nicht kennen in ihren Eigenschaften, die wir noch nicht mal richtig analysieren können.",4,305,24,33.0,143.0,C1,72.5,C1
Also müssen Laura und Kilian nicht lange suchen.,1,509,8,,,A2,80.28,A2
