sentence,difficulty,text_id,sentence_length,sentence_tokens,total_tokens_per_call,difficulty_reviewed,readability
Auf dem Foto ist eine Stadt am Meer.,A1,481,8,,,A1,105.66
„Florian will gern ins Schwimmbad gehen.,A1,486,6,,,A1,73.85
Wir essen um 15 Uhr zusammen.,A2,526,6,,,A1,90.77
Dort geht man von Raum zu Raum.,C1,316,7,9.0,112.0,A1,115.13
Das Holländische Viertel mitten in Potsdam.,B2,485,6,11.0,117.0,A1,48.47
Heute ist Potsdam eine moderne Stadt.,B2,485,6,8.0,113.0,A1,90.77
Dann suchen Laura und Kilian ihre Plätze.,A1,509,7,,,A1,89.75
Der Schaffner gibt Tim die Fahrkarte und geht weiter.,A1,498,9,,,A1,96.18
Dann gehen Anna und Lisa zusammen nach Hause.,A1,500,8,,,A1,88.74
"„Ja, das sehe ich“, antwortet der Mann.",A1,502,7,,,A1,106.67
„Ich will mit dem Boot fahren!,A1,501,6,,,A1,116.15
"„Ich weiß es nicht“, antwortet sie.",A1,502,6,,,A1,116.15
Nach zwanzig Minuten kommt sie an.,A1,517,6,,,A1,116.15
Es ist 17 Uhr und Hannahs Arbeit ist zu Ende.,A1,504,10,,,A1,95.17
Simon ist neu in der Stadt.,A1,487,6,,,A1,99.23
Nach drei Stunden kommt Willi an einer Wohnung an.,A1,489,9,,,A1,87.72
"„Nein, keinen Tisch“, sagt der Kellner.",A1,484,6,,,A1,99.23
Auch draußen ist es sehr schön: Es gibt Berge und einen See.,A1,485,12,,,A1,110.06
Sie spielen wie jeden Samstag Fußball.,A1,475,6,,,A1,73.85
Sie gehen mit dem Vogel .,A1,493,6,,,A1,100.24
Über 10. 000 Teile hat ein Auto.,B2,463,7,11.0,116.0,A1,106.67
"„Oh je, das Hotel ist nicht schön.",A1,521,7,,,A1,106.67
Insgesamt sind das rund 38 Millionen Tiere.,A2,587,7,,,A1,55.91
"Dann legt Mohammed die Eier, das Brot und die Äpfel in seine Tasche.",A1,512,13,,,A1,100.58
Dann sieht Tanja in den Spiegel.,A1,507,6,,,A1,99.23
Sie steht auf und geht zur Haustür.,A1,474,7,,,A1,106.67
Und dann essen sie abends warm.,A2,708,6,,,A1,99.23
Das ist ein Meer in Norddeutschland.,A1,481,6,,,A1,90.77
Es ist für mich das erste Mal.,B2,458,7,8.0,111.0,A1,106.67
Das ist dann 45 bis 65 Cent pro Kilo.,C1,295,9,13.0,116.0,A1,104.64
Hier kann er mit seinem Hund spazieren gehen.,A2,533,8,,,A1,105.66
Die sind alle durchnummeriert .,B2,475,5,8.0,111.0,A1,75.88
Einen Sack mit seinem gesparten Geld.,A2,723,6,,,A1,99.23
Lena und Max wählen zwei Kandidaten aus: Paul und Julia.,A2,536,10,,,A1,78.25
In der Bibliothek trifft Hannah ihren Chef.,A1,503,7,,,A1,81.29
Erna hat zwei Karten für das Festival.,A1,473,7,,,A1,81.29
