sentence,difficulty,sentence_length
Der Tierarzt sieht den Vogel an.,A1,6
"Schönen Merlan mitnehmen hier, für zehn Euro hier!",A1,8
Das wollen sie feiern.,A1,4
Sie kommt heute mit.,A1,4
Lena legt die Tasche auf den Boden.,A1,7
Alexander geht in sein Zimmer.,A1,5
Eine Polizistin öffnet die Tür.,A1,5
„Ich höre etwas.,A1,3
Manchmal haben die Kunden eine Frage.,A1,6
Oder können Sie backen?,A1,4
Eine Polizistin kommt zu Emmas Haus.,A1,6
Es hat viel Spaß gemacht. “,A1,6
Laura sieht auch ein Foto von der Nordsee.,A1,8
Das ist nicht gut.,A1,4
Das Wasser ist blau und der Himmel ist grau.,A1,9
"„Oh, heute ist Freitag.",A1,4
In Hamburg gibt es viele Restaurants.,A1,6
Unsere Lösung: dieser Fahrrad anhänger .,A1,6
Sein Platz ist am Fenster.,A1,5
„Die Bäume und Blumen in Deutschland sind schön.,A1,8
Einmal in der Woche kommt eine Putzfrau.,A1,7
Was jetzt?,A1,2
Das ist Tims Flug.,A1,4
Dann sieht Tanja in den Spiegel.,A1,6
Er sieht das Meer.,A1,4
Auch in der Schweiz ist die Natur sehr schön.,A1,9
Das sind Menschen ohne Partner.,A1,5
Oben ist der Kopf.,A1,4
"Ja, Lotta hat Fieber.",A1,4
„Star Wars“sehen.,A1,2
Mirko ist 30 Jahre alt.,A1,5
Dann kommt der Kellner mit der Speisekarte.,A1,7
Sie liest.,A1,2
Er wartet noch eine Stunde.,A1,5
"Im Restaurant kann man etwas essen: Pizza, Pasta, Burger und Pommes.",A1,11
"„Na gut, fünf Euro. “

„Vielen Dank!",A1,7
Simon ist dreißig Jahre alt.,A1,5
So teuer?,A1,2
Doch wo ist die Jacke?,A1,5
"Der Brief ist für mich“, denkt Anastasia.",A1,7
Herzlich willkommen in München! “,A1,5
"Sie haben viele Farben: rot, grün, gelb und blau.",A1,9
"Nein, die Nordsee ist in der Nähe.",A1,7
„Aber jetzt muss ich etwas trinken.,A1,6
Sie sitzt wieder auf dem Sofa und trinkt Tee.,A1,9
Aber auch von Maẞlosigkeit.,A1,4
Tim wartet also einen Moment.,A1,5
Sie ist sehr laut.,A1,4
Hamburg liegt am Meer.,A1,4
Was ist das?,A1,3
"Ralf, Andreas und Lena setzen sich.",A1,6
Emma nimmt einen Karton.,A1,4
"Und du? “

Thalia lächelt.",A1,5
Die zwei Freundinnen essen zusammen und lachen viel.,A1,8
Heute ist ihr erster Tag.,A1,5
Also möchte sie in die Bibliothek gehen und lernen.,A1,9
Zu Hause kocht Anna für Lisa.,A1,6
Die Wohnung ist klein und schön.,A1,6
Sie möchte kochen.,A1,3
"Alexander sieht Sofia an und sagt: „Nein, Sofia.",A1,8
Emil spielt sehr gut Fußball.,A1,5
Emil hat ein Problem.,A1,4
Aber er hat eine Idee: Seine Kinder Luan und Adelina mögen Pizza.,A1,12
Hier wohnt er für vier Tage.,A1,6
"Anna: Oh, nein!",A1,3
Er zeichnet einen Baum.,A1,4
"„Für meine Kinder eine Pizza Margherita und eine Pizza mit Schinken, bitte.",A1,12
Es ist groß und schwer.,A1,5
Im Zug sitzen nur drei Personen.,A1,6
"Sessel, Sofa, Tisch und Vorhang.",A1,5
Im Sommer ist es heiß.,A1,5
Adelina mag keine Tomaten.,A1,4
Die Idee ist sehr gut.,A1,5
Zum Beispiel das Brandenburger Tor und den Fernsehturm.,A1,8
Sie geht zurück ins Wohnzimmer.,A1,5
"Alle Kinder basteln, spielen Spiele, spielen gerne Fußball und Hockey und bewegen sich allgemein gerne.",A1,15
Mirkos Eltern leben nicht in Deutschland.,A1,6
Lena nimmt den Vogel in die Hand.,A1,7
Ihr Name: Jella Lepman.,A1,4
rund 80. 000 €.,A1,4
Sie ist sehr lecker.,A1,4
"„Ah, das ist das Problem“, denkt er.",A1,7
Sie hat frei.,A1,3
Er wird am 3.,A1,4
Dann liest sie das Buch.,A1,5
Das ist gut.,A1,3
Und auf den Bergen liegt Schnee.,A1,6
Er wartet weiter.,A1,3
„Das ist doch kein Problem.,A1,5
Sie mag die Musik von Silbermond sehr.,A1,7
"Herd und Geschirr und Teemaschine, Mikrowelle und Spülmaschine.",A1,8
Die Stadt ist sehr schön.,A1,5
im September 2022 wurde Charles III.,A1,6
Martin hat einen Vollzeitjob.,A1,4
Nach zwei Wochen ist der Vogel gesund.,A1,7
"Wir haben Kuchen und Eis. “

Adelinas und Luans Augen werden groß.",A1,12
Vor dem Haus steht ein Auto.,A1,6
In seiner Freizeit spielt er gern Fußball.,A1,7
Ben kann noch nicht singen.,A1,5
Thalia steht auf.,A1,3
Jeden Samstag spielt er mit seinen Freunden.,A1,7
Das Auto macht,A1,3
Die Wohnung war sehr klein.,A1,5
Die Kassiererin sagt:,A1,3
Da ist der Zug!,A1,4
"Wie viel kostet das? “, fragt Sofia.",A1,7
Was macht Anna jetzt?,A1,4
"„Ein Eis! “, sagt Adelina.",A1,5
"Ich - Marion, 31 - bin die Mama von Stefan und Paul.",A1,12
"Tanja sucht und sucht, aber sie kann die Jacke nicht finden.",A1,11
"Und das ist super! “, sagt Mirkos Vater.",A1,8
Er ist ein bisschen traurig.,A1,5
Im Urlaub muss Laura nicht arbeiten.,A1,6
"„Hallo, ich habe eine Frage.",A1,5
Du auch? “,A1,3
An der Haltestelle,A1,3
Sie schreibt Notizen.,A1,3
Hannah ist traurig.,A1,3
Sie zieht ihre Jacke aus und zieht den Pullover an.,A1,10
Eine Frau und ein Mann steigen aus.,A1,7
Im Haus wohnen auch 2 Katzen.,A1,6
Aber vielleicht findet sie schon bald Freunde.,A1,7
Es kommt von unten.,A1,4
Es ist 7 Uhr.,A1,4
"„Einen“, korrigierte Renate.",A1,3
"„Oh, nein“, sagt Lena.",A1,4
"„Einen schönen Tag noch! “, sagt Mohammed.",A1,7
Neben dem Boot sitzt ein Mann auf einem Stuhl.,A1,9
Herr Fink sieht auf den Kalender.,A1,6
Es ist ihre Lieblingsband.,A1,4
Aber heute kann sie nicht in die Schule gehen.,A1,9
Hamburg ist eine Hafenstadt.,A1,4
"Moment, ich hole das Wasser aus meiner Tasche. “

Alexander sucht seine Tasche.",A1,13
Sie gibt Anna 20 Euro.,A1,5
Sie geht nicht in den Keller.,A1,6
„Wir hatten viel Spaß.,A1,4
„Kaffee schmeckt einfach.,A1,3
